Feed,Sentiment
والآن بعد الانتهاء من قراءة زمن الخيول البيضاء على مدار الأربع أيام الماضية هاي الرواية يلي أخذت من الكاتب أكتر من سنة لكتابتها الرواية الأقسى على الإطلاق وما يزيد مرارتها أنها حقيقية كيف ضاعت فلسطين كيف قدر أهل فلسطين يتركوا بلدهم والله لو بموتوني ما بترك بلدي لليهود هيك بس لما قرأت القصة من قلب فلسطين لما عشت معهم بقريتم من لما كانت جنة لحتى صارت دمار وخراب فهمت القص بالفصل الأول كنت رح أغير رأيي بالرواية بس لما بدأت الملاحم وكل وحدة أكبر وأقسى من يلي قبلها كنت أستصعب حتى قراءة هاي الأحداث فكيف بيلي عاشوها فلسطين ما ضاعت بيوم وليلة أول عثرة كانت من خيانة بعض أهل البلد أبوكريم ومن جهلهم كمان وبعدين من اجتماع كل الأعداء عليهم وآخر شي كان من تخلي العرب عنهم وإعلان الهدنة مع العدو شغلات كتير كان لازم أعرفها قرأتها بهالرواية شكرا إبراهيم نصر الله,Positive
كتاب مفيد جداا,Positive
السجينة ربما الاسم فقط شئ يسترعي الانتباه رواية قررت قراءتها قبل يومين على مضض لانني لست من ارباب قراءة الروايات كثيرا أكثر ماحسمني لقراءتها احدى الصديقات بتويتر والتي اثق بذائقتها كثيرا لعل مجريات احداث صفحات السجينة تدور حول البلاط المغربي وحياة الترف ومابين غمضة عين وانتباهتها يغير الله من حال الدعة والراحة الى حال المعتقلات وحياة الذل والمهانة كل سطر كنت اتوقف عنده قليلا اتفكر في حال المعتقلين السجون امم اشياء كثيرة فربما الكلمة احيانا تكلف الكثير والكثير السجينة شئ تاريخي يحكى لكنني وبما أنني لست ممن يحاول عقد اي صداقة مع التاريخ لم ابحث في مدى مصداقية المعلومات الموجودة اخيرا انصح بها ,Positive
بالرغم من الخجل الذي تشعر به اثناء قراءه الطنطوريه وذلك لان اقصى معلوماتك عن معاناه الفلسطينيين قد تقتصر على معاناه اجدادهم اثناء النكبه الا انك تشعر بالسعاده غامره ليس فقط نتيجه للحاله التي تدخلك فيها الطنطوريه ولكن تشعر بالسعاده لانك تعلمت درسا جديدا وهو ان التاريخ لا يقرء فقط من كتب التاريخ او من المسلسلات والافلام بل يجب ان يقرء من شهادات من عانو روعه الطنطوريه في انها روايه انسانيه وليست كتاب للتاريخ ولكنها تلقي الضوء على معاناه شعب باكمله من خلال قصه اسره واحده بالنسبه لي لخصت الكاتبه المعاناه في سطر واحد عندما اخذت تحصي البيوت التي عاشت بها وكانت سبعه بيوت ,Positive
كتاب بيوجع ,Positive
ابي اقرا هالكتاب,Positive
تفسير القرآن العظيم من أجمل الكتب اللي قرأتها بحياتي بدأت قراءة المجلد الأول عام وأنهيت الرابع في نهاية إذا قرأت المتن الأصلي مع تعليقات ابن كثير والإسنادات لجميع الأحاديث سواء الصحيحة أو الضعيفة راح يكون لقراءة القرآن بعدها طعم ثاني كنت أقرأ سورة سورة وإذا سمعت آية فتحت المجلد وقرأت تفسير الآية والعشر الأيات اللي قبل واللي بعد,Positive
مليان افكار سواء كنت معاها او ضدها الكتاب راائع,Positive
خلصتها بيوم وااحد رهييبة وكئييبة كتتير الكتاب عبارة عن روايتين التنتين حلويين بس التانية كئييبة بشكل مش طبيعي بكيت فيها اكتر من مرة كمية حزن مش طبيعية بقلب هالكاتبة كل كتبها احزان باحزان ياخيبتي,Positive
كتاب كله وجع ,Positive
تخيل البعث والحساب فكره سبق ان تناولها المعري في رساله الغفران ودانتي في الكوميديا الالهيه المعري باسلوبه الشعري ودانتي باسلوب الاساطير بينما احمد بهجت باسلوبه الروائي الممتع العذب تشعر وكانها احداث واقعيه عايشها الكاتب القشعريره التي تنتابك في الكثير من المواقف مثل موقف حساب بالقبرلمسرور ومقرور الاسلوب الادبي السياسي اعلي من كونها مجرد كتاب ديني ادبي تجدها في انت متهم بتأليه نفسك وإفساد شعبك لقد زورت أرادتهم ومحوتها ولم تكن تسمح لمن يعارضك أن يعارضك وهذا كبرياء وعظمه والكبرياء رداء الله تعالي والعظمه إزاره من نازعه واحدا منها ألقاه في جهنم الاسقاط السياسي في لماذا لم يقاومني لحد لماذا لم يثر علي أحد لقد كانت استكانه الناس هي الدليل عندي علي رضائهم لقد ضيعني هلاء الكلاب الذين اسلمتهم مقاليد الامور كما ضيعني الناس حين صبروا علي ظلمنا لهم لو لم يصبروا عليه لكان حالنا وحالهم افضل الروحانيات التي يمدك بها الكاتب لا تنتهي بنهايه قرائتك للكتاب لانه زرع في خيالك مشاهد حقيقيه مناول مرحله حساب القبر حتي الدخول الي الجنه او النار,Positive
ابطال غسان مرتبطين ارتباط وثيق مع بنادقهم يسعون لإقتنائها يخبرك غسان ان عليك ان تحصل على بندقيتك اشتريها اسرقها احصل عليها بالقوه المهم ان تكون معك والاهم ان تستخدمها لا تخبئها وتدفنها واجعل دويها خرس كل صوت عداها وقاتل لا تبحث هن سبب للقتال أنت لا تستطيع ان تسأل مقاتلا لماذا تقاتل كأنك تسأل رجلا لماذا أنت ذكر تشبث بالبندقية لتفخر بك وتفخر بها رجال غسان هم رجال البنادق ,Positive
بيوم واحد خلصتها اسلوب وفكره وتفاصيل روعة مهما يصل الانسان الى حالة من اليأس ونفاذ الطاقه والقدره على الصبر فأن الله سيرزقه شخص ما ليقويه على ماهو عليه ويجعل من حاله أفضل ويستحق الافضل والاجمل في ايامة القادمة والتعويض على ما خسره في حياته روايه تستحق القراءه,Positive
الله واحد للجميع,Positive
كتاب جميل يتالق خالد ابو شادي كالعادة باسلوبه السهل البسيط الذي يمس شغاف القلوب مواضيعه الشيقة التي تهم الشباب تخاطبهم بصورة مباشرة مقنعه لنقل حياتهم الى الافضل تقبل الله منه نفعنا بما قرانا,Positive
بالظبع لم انهي قراءته كاملا إن شاء الله في خطة ستكون خطتي هي تدارس هذا الكتاب لكن في رأيي من أفضل كتب التفسير لأنه بيربط الآية بالواقع بشكل بصدق يجعلك تصل إلى التدبر لم أندم على تدبر آية واحدة فيه فدايما كان بيفتحلي آفاق جديدة لفهم مراد الله بيعيشني في حالة روحانية جميلة جدا,Positive
ثمه أوهام لا تحلو الحياه من دونها لنا عند اللقاء لقاء لنا عند الفراق لقاء ,Positive
وجودية,Positive
ري فيو نهائي عن رواية قزم مينورا للكاتبة منى سلامة قرأت الرواية منذ فترة بعيدة بعض الشيئ لكن ما يزال أثرها في إلى الآن لأكتب عن روعتها رواية فانتازي البداية عندما تبدأ الإبحار في الرواية ستلاقي موجة من جرائم قتل الغامضة تدفعك مع تيار القراءة لتتعمق في الرواية أكثر لتجد نفسك في عرض ما تسرد اللغة لم أقرأ لمنى سلامة من قبل لكن ما أراه من لغة يعبر عن قدر عالي جد النضج اللغوي الصياغة خاصة الركن الذي أحبه التشبيهات صور تشبيهية جديدة ورائعة بحق قرب الصورة الخيالية جيد إلينا السرد سلس جذاب فيه خيوط كثيرة بين الغموض الإثارة الهدوء لكنها تتآلف لتحيك ثوب تماسك متين الوصف يكفي أن أقول أن لدي الكثير من الصور المطبوعة عن مشاهد الرواية الرائعة والبناء الخيالي المذهل وعنما أتذكرها أتذكر شعور الاستمتاع المصاحب لها وقت القراءة الشخصيات على الرغم من كثرتها وتعددها إلا أنك سرعان ما تستطيع التمييز بينهم جيد خصوص مع اختلاف خصالهم وهذا يتضح بقوة في تلاقيهم بمحور الأحداث تدرج الأحداث الأحداث كالموج تعلو تهبط مع مد السرد لكن يستكين في أعماقها الغموض للنهاية الحبكة الحبكة في رأيي نصفين الأول شجاعة من الكاتبة لتعرضها رب النهاية فعندما تعلمها ستعيد صياغة تشكيل قراءة الصفحات السابقة في شكل آخر تمام الثاني دقة في السرد عدم التعارض في الأحداث كنت على وشك رفضها جملة وتفصيل لكن بعد انتقال المشاهد الوصف حتى الوحوش الخيالية أجد أنها مثالية جد للحبكة أبعدتني عن دفة النفور تمام الإسقاطات هيم في تلك الروايات الفانتازية التي سقط على الواقع فتهوي بجذورها من سماء الخيال لواقعنا بما يحمله من بس يأس أمل مقاومة القضايا التي تطرحها كل قارئ يفسرها بطريقته فأنا أمقت الكاتب الذي مليني ماذا يقصد فلتدع يقرأ يرها من منظور دون غيره النهاية النهاية جالية لكل صفحات الغموض التي تحت على مدى الرواية هي الحكمة التي تقول لك بعد الانتصار يجب أن تتبعها بانتصارات أخرى على نفسك قزم مينورا رواية أدبي رائعة بدعة تترك أثر قوي في نفس قارئها تدع له بعض الأفكار تجول في عقله أخير أنتظر اقتنائها في الح لة الورقية بالتوفيق الشواف,Positive
السلام عليكم في حدا من الاخوان او الاخوات بيعرف موقع تحميل كتب جيفري لانج او ينزلنا واحد من كتبه لانه قراءة التلخيص مش مثل قراءة الكتاب الكامل للكاتب لكم جزيل الشكر,Positive
ادهشني الكتاب بوصفه وتفاصيله هذه المره الأولى لي لقراءة كتاب لغازي القصيبي وكانت من الكتب التي شدتني جدا بكل تفاصيلها خصوصا وظيفه السفير العربي ادهشني حقا الله يرحمه ويغفرله كانت اجمل صدفه لي لاني اشتريت الكتاب بالخطأ,Positive
اه از اتوقع كل الاديان متفقه على أن إيمانك بالله يعود بالنفع على نفسك على روحك آخرتك فلماذا يحشرون انفسهم بينك بين ربك,Positive
من أروع الكتب اللي قرأتها في حياتي,Positive
رغم كل الانتقادات الي شايفاها بس الروايه حلوة ودمها خفيف وعجبتني الصراحه واندمجت فيها جدا,Positive
أحزن ما قرأت اللغه هى الزاكره والدراما من الواقع الاندلسي والاحداث سلسله متصله منفصله من العذاب والمعاناه والله يا أخي ما يعذبني أكثر من السال أين ذهب العرب والمسلمون ,Positive
من اكتر الروايات الرائعة,Positive
تاريخ بطريقه أدبية,Positive
اكثر من رائع اعطيه اكثر من خمس نجوم بين كل خمس سنوات اجد كتاب راائع يشجع عالبحث والتفكير وتشغيل المخ النايم ,Positive
لم يعجبني الكتاب فقط بل الكتاب هو انا هو كتابي والصوت صوتي لم اشعر ان الكاتب يتكلم عن شخص اخر او قصة انما انا اتكلم عن نفسي بلفعل رأيت صوتي الكتاب معبر جداا وكل كلمه فيه هي كلمة صادقة اسلوب رائع مشوق روح الكاتب ومشاعره تصلك بكل عفويه ووضوح احببت كل شيء في الكتاب والكاتب لغته جميله معبره مختلفه ممتنه للكاتب جدا جدا جدا على كلماته التي خرجت مني وانا اقرأ واعيد اكتشاف ذاتي كتاب مميز جداا ويستحق القراءة,Positive
عالم تاني عالم الرجال عبد العزيز مش بس بيمثل شريحه كبيره جدا من الرجال ده بيشرح خبايا افكار كتير اوي بتمر جواهم اثير عبد الله النشمي كم انت رائعه اول مره اضحك اعيط في نفس المشهد كأني باتفرج علي فيلم جمانه رمز لبنات كتيير اوي عاشوا او بيعيشوا نفس القصه لخصت مشاعر كلام كتير اوي نفسهم يقولوه بجد من قلبي كتاب وهمي ياخدك لعالم تاني ,Positive
بيكاسو وستاربكس كتاب يغير بعض مفاهي الشخص عن الحياة يجعلك ترى الاشياء من منظار لم تفكر يوما بتجربته بسكاسو وستاربكس من الكتب التي لن أمل بأن أعيد قراءتها مرارا وتكرار فهي توعيك لما تجهله ولما تتغاضى عنه بيكاسو وستاربكس يبث فيك أملا واعيا مبنيا على صدق العاطفة وذهن منفتح وعقل واع كتاب من أروع ما قرأت ومن أجمل ما كتب ,Positive
الانسان قضية تشمل جميع الكلام جملة عبارة عن كلمتين فقط عندما يتوقف الحديث خوفا من قول ما لايليق بمقام الم فلسطين يتوقف الحديث عندما لا نستطيع فعل شيء حول هذه القضية سوى الدعاء ابهرني الكنفاني للمرة الثانيه واخرسني ,Positive
اليوم سنناقش الكتاب وكنت وانا اقرا انوي ان ابادر بالسال عن فرج ماعلاقه العنوان بالروايه ربما سياخذ سالي منحى اخر اي معنى اخر الروايه جميله بكل تفاصيلها ماعدا فرج الاحداث تحاكي ايامنا الحاليه في كل ابلاد ربما وليس فقط في مصر احببت ندى امومتها مع التام ضحكاتهم معا وعلاقتهم العميقه رايت ان علاقتها بحمديه كانت اكثر تفردا منوعلاقتها بوالدتها ربما بسبب البعد المني مشهد وداعها لوالدتها في المقبره دوما القبعه مرفوعه للمرحومه رضوى عاشور,Positive
روايه جميله جدا غير ان الاطاله يالاحجاث التفاصيل تشعرك كانك تشاهد مسلسل تركي وليد شخصيه رائعه مميزه رغم صغر سنه فقد اظهر رجوله يفتقد لها من يفوقه عمرا لكن بالمجمل فهي روايه رائعه جدا جدا,Positive
كتاب رائع ومنظم جدا عن الاستبداد والاستعباد في المجتمعات العربية الشرقية رغم انه مكتوب من أكتر من سنة لكن معظم عناصر المجتمع اللي بيناقشها لا تزال موجودة في عصرنا الحالي بصور مختلفة ظاهريا لكن متفقة لحد كبير من حيث المبدأ الكاتب مقسم قضية الاستبداد والاستعباد لعناصر منفصلةومتسقة مع بعضها فبلتالي القاريء يطلع من الكتاب بنظرة شاملة للقضية وعناصرها وحلول مقترحة لكل عنصر حزين إني مقرأتش الكتاب قبل الثورة كان حيبقى افيد ولكن لا يزال كتاب مفيد جدا في فهم المجتمعات والاستبداد والتغلب عليه,Positive
لقد انهيت هذه الروايه منذ شهر تقريباا وطالما حاولت ان اكتب مراجعه لها ولكني لم استطيع وعندما قرأت مراجعات القراء لها اعترتني الدهشه الشديده فرأيت الطأح فيها ورأيت الممجد لها وبين ذاك وذاك وقف فريق ثالث واعتراه الصمت وانا كنت من هذا الفريق لاني ايقنت ان الروايه مدلولها روحي داخلي باحت ولكني قررت ان اكتب مراجعه بعد ان رايت النقد الاذع الذي تعرضت له الروايه كثير من كفروا شمس وشطحوا فيه وفي الصوفيين لانهم ببساطه استكفوا بالمعني الظاهري لكلام شمس للقواعد وتركوا المعني الباطني دون ان ينجرفوا فيه وهذا خطا عظيم وانا لا انكر بذلك بعض الشطحات التي سيقت في الكلام ولكن علينا الاعتراف ان مصدرها اليف شفاق وليس شمس او جلال الدين الرومي وربما يكون خانها التعبير ليس اكثر وبالتاكيد هذا لا ينقص منها او من روايتها التي لمست روحي وقلبي قبل اي شي والتي اقيمها كاعظم روايه روحيه قراتها حتي الان ونهايتا لكلا منا رايه واتجاه وحكمه ولكني فضلت ان الفت النظر الي هذه النقطه التي يتوقف هدف الروايه كله عليهاا ,Positive
