Feed,Sentiment
حنونة هي القهوة حين تقدم لنا روحها في سبيل مزاجنا,Positive
تمرين نفسي جميل لمن يعاني من فوبيا الاماكن المرتفعه,Positive
دن دن دن داني دان كيفي كويتي فيصل اطلع برا,Positive
نامي على كتفي لا جاك الحزن أنا لك أمن و أمان,Positive
متبقي شهر واحد فقط لهؤلاء الأساطير الثلاثة ليعلنوا اعتزالهم كرة القدم الرياضة,Positive
أرى ب عينيك إمتداد ملامحي و بين أصابعك ألف إعزوفة تراقص مشاعري و تحتضن ترآنيمي,Positive
سبحان من يجبر خواطرنا حين يصدأ كل شيء ويحن علينا إذا قسى كل شيء سبحان من نحن بدونه لسنا بشيء وبه كل شيء سبحان الذي إذا ذكرته ذكرك,Positive
كل عام و انت بخير حبيبي ادامك الله فخرا للمستقبل الطلابي,Positive
جميل ان تفرح بمنجزاتك والأجمل ان يشاركك أحباءك وأصدقاءك ويبادلونك مشاعر الود والفرح كما أنتم احبتي أسكن الله الفرح قلوبكم,Positive
البر لا يبلى والذنب لا ينسى والديان لا يموت إعمل ما شئت كما تدين تدان أسعد الله صباحكم,Positive
ذكرني ف نفسي لما أغني كاريوكي و اسوي ايفكت,Positive
صوت فقيدي لاينسى وبسمته لاتغيب عن خيالي رحم الله وجه اشتقت اليه,Positive
فاصبر لحكم ربك فإنك بأعيننا ما أجمل ان يواسيك الله,Positive
قال الجنيد أربع ترفع العبد إلى أعلى الدرجات وإن قل عمله وعلمه الحلم والتواضع والسخاء وحسن الخلق وهو كمال الإيمان صباح الخير,Positive
الله يبارك فيك اسبوع اقل ما يقال عنه خورافي,Positive
اذكريني باول انفاس الفجر مع نسيم الصبح لاهب العطر ولا اكتمل وجه القمر واصبح بدر اذكريني واكتبي لي لو سطر,Positive
كلما ضاقت عليك نفسك لاتشتكي لأحد بل ردد ربي إني مسني الضر وأنت أرحم الراحمين صباح الخير,Positive
غامضة مره ومره مثل نور تجمعين الضد في كل الأمور,Positive
الصوره ليست من الفضاء الخارجي انها من داخل مدرجات التالته يمين,Positive
لا أعلم ابدا متى بدأ الأمر و كيف أحببتك لكنني سأضع ضحكتك إحتمالا,Positive
لك يا أمي دعوة قلبي أن يزهر قبرك ويمتلئ نور وضياء لك كل الحب وإن كنت لست أمام ناظري حب الأم لا يموت ابدا,Positive
افضل مسلسل تركي في التاريخ اتمنى النهاية تكون حزينة عشان يكتمل جمال المسلسل,Positive
لو فتحت لك أستار الغيب لأحببت حزنك ولو رأيت كيف يغرف للصابر غرفا من الثواب لانتشى قلبك وتلذذت بكل وخزة أل,Positive
لن تحصل على ما تريد بسهولة و لا حتى بصعوبة ريح نفسك,Positive
أجمل من أنسام الشتاء وبراده ملامحك من حسنها تفتح النفس,Positive
أصبحنا وأصبح الملك لله الله يوفقني ويوفق كل نفر فيكم قولوا أمين,Positive
أرجوك يا صديقي لا تتوقع مني أن اكون دوما جيدا وطيبا ومحبا هنالك أيام سأكون فيها باردا شارد الذهن صعب الفهم,Positive
طبيعتي ما انقل فرحتي إلى تويتر واكتفي بتغريده او تغريدتين لكن اليوم المعجزه تجبرك على الاحتفال بغزاره,Positive
و نؤمن أنك خير الورى و مسك الحياة و خير الأنام تفيض بحبك أرواحنا عليك الصلاة عليك السلام,Positive
يا مسخر الأقدار سخر لي من الأقدار ما تسر به نفسي وبشرني بما انتظره منك فأنك خير المبشرين,Positive
يعني كيف ذا ملامح وجهه ولا غلطه بسم الله عليه,Positive
لطالما عرفت شيئا واحدا وآمنت به أنني أعرف كيف أنجو في غمرة الأذى وأعرف دائما كيف أحافظ على استقامتي واتزاني في وجه كل ميل,Positive
سيظل سور الصين العظيم اعظم واجمل ما رات عيني,Positive
شتان مابين امس واليوم في اللعب امس كانت المتعه بأكملها واليوم ناس تصيح برشلونه يوفنتوس,Positive
ريمونتادا تغير المعنى والكلمه الى برشلونه فقط,Positive
عدو عينك تهديه جوال جيجا لا احد يشتري هدية من هالنوع,Positive
شعور يوجع لما تحس مكسور من داخل وتحتاج تبكي تاخذ نفس عميق وتقول لاوين ابكي انا اقوى من كذا,Positive
للراحلين بعيدا دون رجوع طبتم بنعيم الفردوس نزلا,Positive
لقد امتليء العالم ب بحنيتك عليا ياكابتن قلبي,Positive
لا يمكن إستلام الهدية إلا بعد تسعة أشهر لأني احملها لك في جوفي,Positive
بعضا مما عندكم يا جميلتي اصبري لي بس كم يوم,Positive
ولسا بننهبكم زيادة ونعطي وانتم صاغرين ومستضعفين بعد,Positive
أشعر وانا معك بأن لاشي مرئي وان الوقت كذبة وبأن الكون لنا وحدنا,Positive
من صفاتك الحلوه الهدوء وضبط النفس بين الساعة ص الى ص,Positive
ستفنى الأوجاع وتنطوي الالام عن قريب في مجرة ما,Positive
وألقيت عليك السلام فى صمت فكيف حالك يا كل حالى صاحب تويتر وفلورز للاربع,Positive
دع عنك عشق العاشقين فأنما خلق الغرام لحب آل محمد,Positive
كرستيانو رونالدو كلما تكبر الليالي وتصعب يظهر من بعيد ويصمت النقاد بايرن ميونخ ريال مدريد,Positive
أحسد البن ام فنجان قهوتها إن بات في يدها تكسوه بالقبل,Positive
ربي وإن فارقت هذه الدنيا أسكني جنتك مغفور الذنب,Positive
ياليت الدنيا بكل احوالها حلوة مثلك مثل عيونك نجوى كرم,Positive
نبئ عبادي أني أنا الغفور الرحيم لعلك تريح بها قلبا يتألم فسبحان من لا تأنس الأرواح إلا به ولا تطمئن القلوب إلا بذكره,Positive
شفت اكثر من فرحه بهدف برشلونه السادس لكن هذا احلاهم وافضلهم,Positive
إني لأتوق إلى رؤية خصومة ملهمة أكثر من ذلك السلام الباعث على الملل,Positive
دورة حياتي في صورة هذه حياتي بمعناها الحقيقي,Positive
المرأة التي ترآهآ قوية الشخصية هي في الوآقع أشد الإنآث رقة,Positive
في عيناك صباح آخر ليفأنت مدينتي وأنت حكايتي وأنت كل أشيائي,Positive
اجمل مافي الشوط الاول بعد الهدف منظر يشرح الصدر,Positive
مختاريان عن الهدف لقد تفاجأت ايضا لم ادرك انه رائع الا وقت ماعدت الى المنزل واعدته,Positive
الذي يحبك حقا هو الذي يرى فوضاك التي تعيشها ومزاجك المتقلب وصعوبة التعامل معك أحيانا ولكنه مع كل هذا يريدك أن تبقى في حياته,Positive
كلما حطيت بكفوفي كفوفك أشعر إن الأرض ماهي مستديرة,Positive
تتحدث كثيرا مع البشر ولا يتغير أي شيء ثم تتحدث مع الله قليلا فيتغير كل شيء تكلموا مع ربكم ادعوه يستجب لكم يارب وانت اعلم بالباقي,Positive
ومع كل صباحا جديد يتجدد فيه حبي العظيم لها,Positive
الريال اقرب من اي وقت مضى لليغا نقطة ويعود الريال ليتربع على عرش الليغا بعد غياب طويل اشتقنا يا ليغا,Positive
هل قلت اليوم لا إله إلا الله وحده لا شريك له له الملك وله الحمد وهو على كل شئ قدير,Positive
هنآك قلوب تنكر الجميل عند وجود البديل وهناك قلوب ترفض البديل مهمآ كآن جميل,Positive
ليت الآباء والامهات لا يشيخون ابدا ولا يمرضون ولا يحزنون,Positive
ربي اكتب لي ما أسعى لوصوله وفاجئني بتجاوز الصعوبات بسهولة واجعل من حلمي حقيقة يا كريم,Positive
لاتعذب القلب لا عذب على كيفك عذابك ارحم على قلبي من اغيابك,Positive
احتفلنا اليوم في درنة ولأول مرة باليوم الوطني للزي الشعبي الليبي,Positive
هكذا نغطي على برشلونة ونسلط الضوء على مدريد ونلعب من ورا الستار نسيتو قول سواريز في الليغا اللي اخذتوها,Positive
محبوبتي لا تقبل قسما قد أبدع من ريم الرسما,Positive
علمني هذا الحب ان الدنيا لن تحزنني و انا معك,Positive
اتغار نعم اغار ممن من الذين رأوا الكعبة وطافوا حولها ولمسوا احجارها وانا لها مشتاق,Positive
امي القلب والعشق الاول احبك اخواني الصغار حبايبي مفاجئتكم البسيطه تعني لي كثير احبكم,Positive
أسميتك من جهلي وطنا ونسيت ان الأوطان تحتل,Positive
بادر علي بوصالك ي بهجة المكروب إسعى وانا بسعالك ي غاية المطلوب,Positive
تصبحون على خبر تم إيداع في حسابك دينار كويتي,Positive
ولكم ولوالديكم وكل عزيز لديكم آمين صباح الخير,Positive
لو كل مرة أحتاج لك ألجأ إليك واعانقك ما كنت بخلص من عناقك,Positive
شعورك بالرضا عن نفسك أهم من شعور بأن الكل راضي عنك,Positive
ان اخبرك طفل انه يحبك فأعلم انك امام حب حقيقي صادق الاركان وان اخبرك انه عندما يكبر ويشتري جوال سيتصل بك ويطمئن عليك فليكن ردك عناق طويل,Positive
هو الوحيد الذي يستطيع أن يكون لي الصاحب و الحبيب والحياة في وقت واحد,Positive
طبق الدجاج مغطى بالفستق ومحشي بجبنة الماعز الشهية مع صوص البرتقال,Positive
الحمدلله الذي هدانا لهذا وما كنا لنهتدي لو لا أن هدانا الله,Positive
عشان راحتك أنا راضيه بهذا التعب عشان فرحتك قلبي ينكسر لك حزين,Positive
الله يخليكي يا قلبي كلك ذوق عيونك هي الحلوة دايما,Positive
عش كل لحظة كأنها اخر لحظة فى حياتك عش بالحب ب الإيمان ب الأمل و قدر قيمة الحياة د ابراهيم الفقي,Positive
تعالي نتزوج بسرعه علي حسابك كل شي انا ادخل بمجهودي فقط,Positive
ليت وصلك حرب بالسيف الصقيل كان اجيش له جيوش بلا عدد,Positive
ايام قرب عيد ميلادك ياللي فيك الحياة صارت حلوه,Positive
اوكيه انا اخيرا هانزل الكلية وده شيئ لو تعلمون عظيم جدا,Positive
يبحثوا عن السعادة وأنا موجودة يالله لا تعمينا بس,Positive
الحمدالله الذي حفظ عافيتي وستر خطيئتي ومازال يعطيني الحمدالله دائما وابدا,Positive
صلة عظيمة جدا بينك وبين قلبي اللي يرفض الإنقطاع ويرفض غيرك دائما,Positive
الصعب سيمر والألم مؤكد سيعقبه فرح بأذن الله,Positive
سيكون كل شيء جميل ربما ليس اليوم و لكن بالتأكيد يوما ما,Positive
سامحت لأنني أخجل أن آقف على بآب آلله آطلب آلعفو وآنآ لآ آعفو مسامحه الجميع,Positive
